"","en_tweet","friends_count","url","description","verified","eng_rate","n_hashtags","tweet_length"
"264",TRUE,21,FALSE,TRUE,FALSE,7.30593607305936,1,140
"265",TRUE,174,FALSE,FALSE,FALSE,45.0980392156863,0,140
"266",TRUE,533,FALSE,FALSE,FALSE,0.694444444444444,2,132
"267",TRUE,16,TRUE,TRUE,FALSE,0.0849906510283869,6,293
"268",TRUE,123,FALSE,TRUE,FALSE,2.38095238095238,4,168
"269",FALSE,1490,FALSE,TRUE,FALSE,14.879467996675,0,140
"270",TRUE,1210,FALSE,TRUE,FALSE,0.136286201022147,0,140
"271",TRUE,231,TRUE,TRUE,FALSE,1.12994350282486,11,278
"272",TRUE,8,TRUE,TRUE,FALSE,100,14,304
"273",TRUE,2982,TRUE,TRUE,FALSE,0.0926869960144592,1,140
"274",TRUE,107,TRUE,TRUE,FALSE,0,7,226
"275",TRUE,467,FALSE,TRUE,FALSE,1.06007067137809,2,292
"276",TRUE,2764,FALSE,TRUE,FALSE,0.0274800769442154,2,144
"277",TRUE,667,TRUE,TRUE,FALSE,0.508905852417303,6,268
"278",TRUE,1131,TRUE,TRUE,FALSE,0,15,241
"279",TRUE,3138,TRUE,TRUE,FALSE,0.459921156373193,0,140
"280",TRUE,246,FALSE,TRUE,FALSE,5.78313253012048,0,144
"281",TRUE,3506,TRUE,TRUE,FALSE,0.25539160045403,2,294
"282",TRUE,422,FALSE,TRUE,FALSE,14.8975791433892,0,140
"283",TRUE,22539,TRUE,TRUE,FALSE,0,1,98
"284",TRUE,20346,TRUE,TRUE,FALSE,0.00311681835182646,2,279
"285",FALSE,1485,TRUE,TRUE,FALSE,0.200803212851406,8,140
"286",TRUE,2629,TRUE,TRUE,FALSE,0.232774674115456,4,140
"287",TRUE,3443,TRUE,TRUE,FALSE,0.341588385994876,0,140
"288",TRUE,440,FALSE,TRUE,FALSE,1.48698884758364,2,144
"289",TRUE,204,TRUE,TRUE,FALSE,0.00606464916004609,3,148
"290",TRUE,538,FALSE,TRUE,FALSE,0.793650793650794,3,140
"291",TRUE,94,FALSE,TRUE,FALSE,0,2,141
"292",TRUE,2526,TRUE,TRUE,FALSE,0.0793493354493156,0,140
"293",TRUE,1437,TRUE,TRUE,FALSE,2.27703984819734,0,144
"294",TRUE,1605,TRUE,TRUE,FALSE,0.108932461873638,2,245
"295",TRUE,171,FALSE,TRUE,FALSE,0,1,262
"296",TRUE,1393,FALSE,TRUE,FALSE,0,5,113
"297",FALSE,3628,FALSE,TRUE,FALSE,5.51447935921134,0,140
"298",TRUE,694,TRUE,TRUE,FALSE,13.254113345521,0,144
"299",TRUE,297,FALSE,FALSE,FALSE,2.63157894736842,1,148
"300",TRUE,806,FALSE,TRUE,FALSE,1.68067226890756,2,144
"301",TRUE,4810,FALSE,TRUE,FALSE,1.60642570281124,0,144
"302",FALSE,1565,TRUE,TRUE,FALSE,0.181818181818182,8,140
"303",FALSE,1060,FALSE,TRUE,FALSE,28.9644012944984,0,140
"304",FALSE,651,FALSE,TRUE,FALSE,1.52,5,140
"305",TRUE,385,FALSE,TRUE,FALSE,0,2,158
"306",TRUE,197,TRUE,TRUE,FALSE,5.88235294117647,1,140
"307",TRUE,1000,TRUE,TRUE,TRUE,0,2,273
"308",TRUE,2857,TRUE,TRUE,FALSE,2.04953031596926,0,144
"309",TRUE,1244,TRUE,TRUE,FALSE,0.338149400553335,0,140
"310",TRUE,4676,TRUE,TRUE,FALSE,0.178890876565295,4,140
"311",TRUE,2773,TRUE,TRUE,FALSE,0.032258064516129,2,303
"312",TRUE,252,TRUE,TRUE,FALSE,1.2779552715655,0,144
"313",TRUE,201,FALSE,TRUE,FALSE,12.7272727272727,0,140
"314",TRUE,162,TRUE,TRUE,FALSE,0.601805416248746,3,123
"315",TRUE,2175,FALSE,TRUE,FALSE,0.45135406218656,6,140
"316",TRUE,3874,TRUE,TRUE,FALSE,0.114521300961979,4,140
"317",TRUE,303,TRUE,TRUE,TRUE,0.0244678248103744,0,140
"318",TRUE,490,FALSE,TRUE,FALSE,1.51260504201681,6,140
"319",TRUE,971,TRUE,TRUE,FALSE,0.230061349693252,0,140
"320",TRUE,469,TRUE,FALSE,TRUE,0.532132623823168,3,261
"321",TRUE,1393,FALSE,TRUE,FALSE,0,5,131
"322",TRUE,256,FALSE,TRUE,FALSE,38.4615384615385,2,139
"323",TRUE,4742,TRUE,TRUE,FALSE,0.184766988298091,6,140
"324",TRUE,4390,TRUE,TRUE,FALSE,1.04849279161206,1,140
"325",TRUE,419,TRUE,TRUE,FALSE,2.07547169811321,0,140
"326",TRUE,162,TRUE,TRUE,FALSE,1.00300902708124,6,280
"327",TRUE,20346,TRUE,TRUE,FALSE,0.00311681835182646,2,147
"328",TRUE,1005,TRUE,TRUE,FALSE,0.816604287172508,0,144
"329",TRUE,0,FALSE,TRUE,FALSE,0.177935943060498,2,140
"330",TRUE,976,TRUE,TRUE,FALSE,0,5,121
"331",TRUE,1196,FALSE,TRUE,FALSE,1.32743362831858,0,140
"332",TRUE,8393,TRUE,TRUE,FALSE,0.100510930563699,6,126
"333",TRUE,1817,FALSE,TRUE,FALSE,4.1511594617807,0,144
"334",TRUE,3923,FALSE,TRUE,FALSE,0.0601142170123234,4,270
"335",TRUE,188,TRUE,TRUE,FALSE,3.03030303030303,4,221
"336",TRUE,252,TRUE,TRUE,FALSE,3.52053646269908,2,140
"337",TRUE,5001,FALSE,TRUE,FALSE,4.79744136460554,0,140
"338",TRUE,976,TRUE,TRUE,FALSE,0,6,148
"339",TRUE,565,FALSE,TRUE,FALSE,1.22591943957968,3,140
"340",TRUE,1013,FALSE,TRUE,FALSE,3.47826086956522,4,140
"341",TRUE,476,TRUE,TRUE,FALSE,0.173913043478261,3,140
"342",TRUE,1021,TRUE,TRUE,FALSE,46.9255663430421,0,144
"343",TRUE,3416,FALSE,TRUE,FALSE,1.06326422115896,3,134
"344",FALSE,367,TRUE,TRUE,FALSE,7.63651877133106,0,140
"345",FALSE,86,TRUE,TRUE,FALSE,0,6,142
"346",TRUE,124,TRUE,TRUE,FALSE,1.53846153846154,10,299
"347",TRUE,5001,FALSE,TRUE,FALSE,8.52878464818763,0,140
"348",FALSE,842,FALSE,TRUE,FALSE,32.368896925859,0,140
"349",TRUE,29855,TRUE,TRUE,FALSE,0.00702049985959,4,140
"350",FALSE,171,FALSE,TRUE,FALSE,226.582278481013,0,140
"351",FALSE,103,FALSE,TRUE,FALSE,25,5,140
"352",FALSE,5005,FALSE,TRUE,FALSE,6.93798449612403,0,140
"353",TRUE,308,TRUE,TRUE,FALSE,0.131492439184747,0,140
"354",TRUE,3888,TRUE,TRUE,TRUE,0.269860808635546,3,311
"355",FALSE,1131,TRUE,TRUE,FALSE,0,15,238
"356",TRUE,684,FALSE,TRUE,FALSE,18.3946488294314,2,140
"357",TRUE,2481,FALSE,TRUE,FALSE,1.18074477747502,1,139
"358",FALSE,4735,FALSE,FALSE,FALSE,3.62348178137652,0,140
"359",TRUE,684,FALSE,TRUE,FALSE,4.34782608695652,0,140
"360",TRUE,181,TRUE,TRUE,FALSE,0,2,127
"361",FALSE,197,TRUE,TRUE,FALSE,0,6,141
"362",TRUE,952,FALSE,FALSE,FALSE,4.85175202156334,1,140
"363",TRUE,914,FALSE,FALSE,FALSE,0.870511425462459,2,139
"364",TRUE,3475,TRUE,TRUE,FALSE,0.61576354679803,1,140
"365",TRUE,641,FALSE,TRUE,FALSE,12.0689655172414,2,140
"366",TRUE,4990,FALSE,TRUE,FALSE,0.62625250501002,5,140
